日期,收盘,开盘,高,低,涨跌幅
2017-12-01,6.5067,6.6078,6.6234,6.5027,-1.60%
2017-11-01,6.6128,6.6365,6.6548,6.5754,-0.33%
2017-10-01,6.6349,6.6554,6.6637,6.5712,-0.28%
2017-09-01,6.6534,6.5889,6.6821,6.4347,0.96%
2017-08-01,6.5899,6.7251,6.7322,6.5808,-2.03%
2017-07-01,6.7265,6.7783,6.8096,6.7232,-0.80%
2017-06-01,6.7809,6.8023,6.8456,6.7614,-0.43%
2017-05-01,6.8101,6.8902,6.9084,6.8101,-1.21%
2017-04-01,6.8935,6.8867,6.9143,6.8765,0.09%
2017-03-01,6.8871,6.877,6.9244,6.8674,0.28%
2017-02-01,6.8678,6.8666,6.8929,6.8481,-0.20%
2017-01-01,6.8817,6.9582,6.9651,6.8338,-0.91%
2016-12-01,6.945,6.892,6.9612,6.8643,0.85%
2016-11-01,6.8868,6.7767,6.9242,6.7565,1.64%
2016-10-01,6.7758,6.6701,6.7892,6.6701,1.56%
2016-09-01,6.6716,6.6807,6.6901,6.6589,-0.12%
2016-08-01,6.6793,6.6307,6.6823,6.6152,0.63%
2016-07-01,6.6373,6.6462,6.7036,6.636,-0.16%
2016-06-01,6.648,6.5859,6.6563,6.5544,0.99%
2016-05-01,6.5829,6.4751,6.5889,6.4728,1.68%
2016-04-01,6.4741,6.4596,6.5088,6.4553,0.39%
2016-03-01,6.449,6.5448,6.5543,6.448,-1.60%
2016-02-01,6.554,6.5753,6.5828,6.4885,-0.34%
2016-01-01,6.5761,6.5077,6.5953,6.5077,1.27%
2015-12-01,6.4936,6.3979,6.495,6.3904,1.49%
2015-11-01,6.3982,6.3187,6.3983,6.3171,1.27%
2015-10-01,6.3181,6.356,6.3685,6.3158,-0.61%
2015-09-01,6.3571,6.3775,6.3871,6.351,-0.30%
2015-08-01,6.3764,6.2098,6.449,6.2079,2.68%
2015-07-01,6.2097,6.2001,6.2111,6.1994,0.14%
2015-06-01,6.201,6.1984,6.2151,6.1936,0.04%
2015-05-01,6.1983,6.2063,6.2103,6.1918,-0.07%
2015-04-01,6.2028,6.2005,6.2213,6.1889,0.05%
2015-03-01,6.1995,6.2733,6.2765,6.179,-1.12%
2015-02-01,6.2696,6.2496,6.2698,6.2361,0.31%
2015-01-01,6.25,6.2178,6.2558,6.1875,0.71%
2014-12-01,6.2061,6.1444,6.2356,6.1444,1.02%
2014-11-01,6.1432,6.1168,6.1489,6.1103,0.50%
2014-10-01,6.1127,6.1387,6.1395,6.1075,-0.42%
2014-09-01,6.1385,6.1442,6.1538,6.1243,-0.08%
2014-08-01,6.1433,6.1741,6.1825,6.1359,-0.50%
2014-07-01,6.174,6.2033,6.2161,6.1699,-0.48%
2014-06-01,6.2038,6.2472,6.2567,6.1988,-0.71%
2014-05-01,6.2479,6.2528,6.2631,6.2187,-0.18%
2014-04-01,6.2593,6.2166,6.2671,6.1853,0.68%
2014-03-01,6.2172,6.145,6.2329,6.1003,1.17%
2014-02-01,6.145,6.0625,6.1721,6.0574,1.39%
2014-01-01,6.061,6.0519,6.061,6.0404,0.12%
2013-12-01,6.054,6.0926,6.0937,6.0498,-0.64%
2013-11-01,6.0932,6.0955,6.1033,6.0878,-0.02%
2013-10-01,6.0945,6.1202,6.1214,6.0801,-0.44%
2013-09-01,6.1215,6.1208,6.1235,6.115,0.03%
2013-08-01,6.1195,6.1291,6.1323,6.1096,-0.15%
2013-07-01,6.1289,6.1343,6.1426,6.1248,-0.14%
2013-06-01,6.1376,6.1352,6.1517,6.1228,0.05%
2013-05-01,6.1348,6.1652,6.1722,6.1204,-0.49%
2013-04-01,6.165,6.2109,6.2109,6.1609,-0.74%
2013-03-01,6.2108,6.2217,6.2295,6.2079,-0.17%
2013-02-01,6.2214,6.2212,6.2449,6.2202,0.04%
2013-01-01,6.2188,6.23,6.2321,6.2126,-0.18%
