季度,企业景气指数,企业景气指数同比,企业景气指数环比,企业家信心指数,企业家信心指数同比,企业家信心指数环比
2017-12-01,123.4,23.4,-0.1,123.9,23.9,0.3
2017-09-01,123.5,23.5,0.4,123.6,23.6,0.5
2017-06-01,123.1,23.1,-0.3,123.1,23.1,-0.6
2017-03-01,123.4,23.4,9.9,123.7,23.7,10.1
2016-12-01,113.5,13.5,2.2,113.6,13.6,2.2
2016-09-01,111.3,11.3,3.5,111.4,11.4,3.4
2016-06-01,107.8,7.8,0.7,108,8,0.1
2016-03-01,107.1,7.1,-5.1,107.9,7.9,-1
2015-12-01,112.2,12.2,-3.3,108.9,8.9,-3.2
2015-09-01,115.5,15.5,-3,112.1,12.1,-2.4
2015-06-01,118.5,18.5,-5.8,114.5,14.5,-6.1
2015-03-01,124.3,24.3,6.3,120.6,20.6,5.5
2014-12-01,118,18,-4.3,115.1,15.1,-3.9
2014-09-01,122.3,22.3,-2.9,119,19,-2.4
2014-06-01,125.2,25.2,,121.4,21.4,-2.9
2014-03-01,,,,124.3,24.3,7.2
2013-12-01,119.5,19.5,-2,117.1,17.1,-2.4
2013-09-01,121.5,21.5,0.9,119.5,19.5,2.5
2013-06-01,120.6,20.6,-5,117,17,-5.4
2013-03-01,125.6,25.6,1.2,122.4,22.4,2
