日期,发行总股本上海,发行总股本深圳,市价总值上海,市价总值深圳,成交金额上海,成交金额深圳,成交量上海,成交量深圳,A股最高综合股价指数上海,A股最高综合股价指数深圳,A股最低综合股价指数上海,A股最低综合股价指数深圳
2017-12-01,35288.35,18458.3239,331324.82,235761.2565,36619.93,43618.3205,2961.13,3132.3578,3324.5161,2010.274,3254.1775,1965.971
2017-11-01,35003.27,18321.7323,330215.13,233801.2846,51554.94,60480.5075,3996.77,4121.8156,3450.4949,2140.558,3300.7808,2006.209
2017-10-01,34800.9,18243.0008,334498.47,244622.6167,34158.24,45241.8432,2716.78,3178.2797,3421.1026,2130.649,3357.2762,2091.466
2017-09-01,34684.66,18159.2181,327809.44,241491.4973,49579.7,65521.3077,4248.3,4604.1293,3391.6435,2108.098,3332.5985,2046.325
2017-08-01,34565.95,18057.6053,327100.64,234872.1338,55525.59,62146.7508,5069.41,4798.1715,3376.6481,2034.359,3200.7481,1952.547
2017-07-01,34435.24,17948.7621,316976.04,225201.257,45183.23,52428.9144,4200.14,4103.9153,3276.9461,2006.188,3139.5035,1894.092
2017-06-01,34152.76,17684.5009,307464.99,226856.7263,36688.78,48069.8961,3212.64,3571.8165,3193.4613,1989.201,3078.7872,1873.677
2017-05-01,33682.7,17208.4099,297775.27,215837.5048,36229.45,45074.5052,3245.1,3239.9087,3154.7812,2000.698,3016.5305,1881.495
2017-04-01,33439.72,16737.0407,300302.72,227178.1092,42432.35,49650.1104,3804.05,3544.8225,3295.187,2128.681,3097.3334,1979.891
2017-03-01,33291.89,16465.6025,304479.78,235108.3714,51129.25,64814.073,4140.38,4021.8829,3283.2393,2148.875,3193.1565,2080.626
2017-02-01,33130.72,16375.4104,303722.14,234489.7309,37965.03,42870.64,3422.65,3040.8248,3264.0819,2096.041,3132.0333,2008.526
2017-01-01,33012.48,16335.4277,294122.4,223125.3603,30703.58,36938.1371,2781.96,2623.6026,3174.5781,2104.108,3044.2912,1954.567
2016-12-01,32707.76,16042.5342,284607.63,223078.2546,44417.99,53870.0071,3996.68,3632.1652,3279.714,2218.318,3068.415,2064.887
