月份,当月出口额金额(亿美元),当月出口额同比增长,当月出口额环比增长,当月进口额金额(亿美元),当月进口额同比增长,当月进口额环比增长,累计出口额金额(亿美元),累计出口额同比增长	累计进口额金额(亿美元),累计出口额同比增长
2017-12-01,231785721,10.9,6.6259879,177100621,4.5,-0.03799897,2263490049,7.9,1840984533,15.9
2017-11-01,217382015,12.3,15.02927589,177167943,17.7,17.48062893,2039566277,8,1663584526,17.3
2017-10-01,188979730,6.9,-4.68017672,150806090,17.2,-11.18165027,1820993456,7.4,1486223433,17.2
2017-09-01,198258582,8.1,-0.48729601,169791592,18.7,7.9839722,1632454893,7.5,1336873350,17.3
2017-08-01,199229419,5.5,2.88353495,157237772,13.3,7.03057997,1436354168,7.6,1164898440,16.9
2017-07-01,193645581,7.2,-1.49819401,146909203,11,-4.49655179,1240806046,8.3,1009123733,17.7
2017-06-01,196590894,11.3,2.91100399,153826072,17.2,2.40039771,1047272559,8.5,862207705,18.9
2017-05-01,191030003,8.7,6.12552664,150220190,14.8,5.82189082,853346484,8.2,709579902,19.5
2017-04-01,180003821,8,-0.3350377,141955685,11.9,-9.40015842,662740054,8.1,559402730,20.8
2017-03-01,180608929,16.4,50.40846329,156684253,20.3,21.24763479,482791687,8.2,417182538,24
2017-02-01,120078967,-1.3,-34.29570399,129226647,38.1,-1.66091663,302812328,4,260686545,26.4
2017-01-01,182756645,7.9,-12.73094974,131409245,16.7,-22.05816165,182756645,7.9,131409245,16.7
2016-12-01,209417479,-6.1,6.40813217,168599109,3.1,10.77777884,2097444193,-7.7,1587480835,-5.5
2016-11-01,196805897,0.1,10.45489716,152195784,6.7,17.87046257,1897165716,-7.5,1422074974,-6.2
2016-10-01,178177611,-7.3,-3.43086741,129121224,-1.4,-9.40075186,1711547777,-7.7,1269933676,-7.5
2016-09-01,184507830,-10,-3.19240684,142519090,-1.9,2.86991203,1537012177,-7.5,1140655274,-8.2
2016-08-01,190592312,-2.8,3.17196823,138543027,1.5,4.6198952,1352930460,-7.1,998037754,-9
2016-07-01,184732651,-4.4,2.41118698,132425125,-12.5,0.11343104,1167648526,-7.4,860106545,-10.5
2016-06-01,180383273,-4.8,-0.37576125,132275084,-8.4,0.90853863,985478923,-7.7,727193585,-10.2
2016-05-01,181063640,-4.1,4.80489164,131084134,-0.4,3.05339919,813812073,-7.3,596314442,-10.3
2016-04-01,172762585,-1.8,7.43041121,127200204,-10.9,-2.86828279,636628839,-7.6,465427635,-12.8
2016-03-01,160813482,11.5,27.48329865,130956404,-7.6,39.98210433,463931267,-9.6,338205177,-13.5
2016-02-01,126144745,-25.4,-28.92266889,93552247,-13.8,-18.07204086,303315205,-17.8,207413119,-16.7
2016-01-01,177475354,-11.2,-20.83659638,114188426,-18.8,-30.41358466,177475354,-11.2,114188426,-18.8
2015-12-01,224188635,-1.4,13.66153042,164095859,-7.6,14.64071215,2276574201,-2.8,1682069743,-14.1
2015-11-01,197242316,-6.8,2.51904006,143139253,-8.7,9.47351949,2052319598,-3,1513208310,-15.1
2015-10-01,192395789,-7,-6.40160939,130752399,-18.8,-9.95802144,1855108340,-2.5,1370162288,-15.7
2015-09-01,205554591,-3.7,4.41226258,145212712,-20.4,6.28286356,1664115321,-1.9,1240023295,-15.3
2015-08-01,196868247,-5.5,0.90812845,136628528,-13.8,-10.15511683,1460525784,-1.5,1095636125,-14.5
2015-07-01,195096520,-8.3,1.62576993,152071574,-8.1,4.56206218,1264823230,-0.8,959623896,-14.6
2015-06-01,191975441,2.8,0.64159149,145436663,-6.1,10.79741719,1071871351,0.9,808622517,-15.6
2015-05-01,190751595,-2.5,8.17825229,131263586,-17.6,-7.6884886,880866900,0.7,663608738,-17.3
2015-04-01,176330816,-6.4,21.97037839,142196335,-16.2,0.50110066,690156552,1.6,532350460,-17.3
2015-03-01,144568557,-15,-14.55281609,141487341,-12.7,30.31714201,513932580,4.7,390233246,-17.6
2015-02-01,169190546,48.3,-15.51372907,108571550,-20.5,-22.57396356,369410752,15,248759770,-20.2
2015-01-01,200258035,-3.3,-11.97934343,140226150,-19.9,-21.17727787,200258035,-3.3,140226150,-19.9
2014-12-01,227512544,9.7,7.48827135,177900669,-2.4,13.17823448,2342746552,6.1,1960290297,0.4
2014-11-01,211662669,4.7,2.31837877,157186291,-6.7,-2.64765545,2115366752,5.7,1782887471,0.8
2014-10-01,206866715,11.6,-3.19192663,161461228,4.6,-11.63660353,1903840528,5.8,1626733066,1.6
2014-09-01,213687462,15.3,2.50477413,182724108,7,15.18931735,1697088751,5.1,1465486737,1.3
2014-08-01,208465863,9.4,-2.07847813,158629387,-2.4,-4.20381858,1483463721,3.8,1282932022,0.6
2014-07-01,212890750.7,14.5,13.97420533,165590511.7,-1.6,6.67852994,1275110932.7,3,1124549842,1
2014-06-01,186788537,7.2,-4.44275504,155223841,5.5,-2.71220041,1061863191,0.9,958997561,1.5
2014-05-01,195472920,7,3.67686,159551189,-1.6,-6.19490465,875198581,-0.4,803901201,0.8
2014-04-01,188540548,0.9,10.8357992,170087977,0.8,4.73094949,679777847,-2.3,644539210,1.4
2014-03-01,170107988,-6.6,49.09499556,162404693,-11.3,18.47223914,491303221,-3.4,474570182,1.6
2014-02-01,114093694,-18.1,-44.91743128,137082488,10.1,-21.78461581,321213290,-1.6,312314736,10
