日期,利率(%),涨跌(BP)
2017-12-29,5.6166,-32.1600
2017-12-28,5.9381,102.8100
2017-12-27,4.9100,-57.8200
2017-12-26,5.4882,32.8300
2017-12-25,5.1599,-42.3500
2017-12-22,5.5834,53.2000
2017-12-21,5.0514,33.0600
2017-12-20,4.7208,6.2500
2017-12-19,4.6583,55.8300
2017-12-18,4.1000,-74.2200
2017-12-15,4.8422,28.1200
2017-12-14,4.5610,-3.4300
2017-12-13,4.5953,-30.6000
2017-12-12,4.9013,73.9300
2017-12-11,4.1620,-42.4900
2017-12-08,4.5869,458.6900
2017-12-06,5.3256,57.4100
2017-12-05,4.7515,95.1500
2017-12-04,3.8000,-133.4800
2017-12-01,5.1348,109.4800
2017-11-30,4.0400,-3.0000
2017-11-29,4.0700,-53.0000
2017-11-28,4.6000,62.6400
2017-11-27,3.9736,-49.0100
2017-11-24,4.4638,27.0600
2017-11-23,4.1932,4.4700
2017-11-22,4.1484,4.8400
2017-11-21,4.1000,14.9200
2017-11-20,3.9508,-11.8600
2017-11-17,4.0693,5.6500
2017-11-16,4.0128,-36.8300
2017-11-15,4.3811,33.2100
2017-11-14,4.0490,2.4600
2017-11-13,4.0245,22.0000
2017-11-10,3.8044,-16.9500
2017-11-09,3.9739,-3.7700
2017-11-08,4.0116,-0.8100
2017-11-07,4.0197,11.9700
2017-11-06,3.9000,-42.3300
2017-11-03,4.3233,432.3300
2017-11-01,4.0784,5.1400
2017-10-31,4.0270,-3.4800
2017-10-30,4.0618,5.3000
2017-10-27,4.0087,-5.5600
2017-10-26,4.0643,-59.8000
2017-10-25,4.6624,59.2500
2017-10-24,4.0698,3.8300
2017-10-23,4.0315,1.0200
2017-10-20,4.0213,-7.2500
2017-10-19,4.0938,-5.4100
2017-10-18,4.1479,12.9300
2017-10-17,4.0186,-3.5400
2017-10-16,4.0539,5.6000
2017-10-13,3.9979,-22.1300
2017-10-12,4.2192,-1.1700
2017-10-11,4.2310,0.8400
2017-10-10,4.2226,-4.6300
2017-10-09,4.2689,-34.5400
2017-09-30,4.6143,21.9800
2017-09-29,4.3945,0.2500
2017-09-28,4.3920,22.0300
2017-09-27,4.1717,-50.2600
2017-09-26,4.6743,-21.2500
2017-09-25,4.8869,30.6200
2017-09-22,4.5806,55.5700
2017-09-21,4.0249,-99.6900
2017-09-20,5.0219,46.1400
2017-09-19,4.5604,50.8400
2017-09-18,4.0520,-74.8000
2017-09-15,4.8000,79.1700
2017-09-14,4.0083,-46.2100
2017-09-13,4.4704,-82.9600
2017-09-12,5.3000,97.4600
2017-09-11,4.3254,-27.4600
2017-09-08,4.6000,65.0000
2017-09-07,3.9500,31.0100
2017-09-06,3.6399,363.9900
2017-09-01,4.0465,-5.3500
2017-08-31,4.1000,-10.0000
2017-08-30,4.2000,30.0000
2017-08-29,3.9000,-67.1400
2017-08-28,4.5714,67.1400
2017-08-25,3.9000,-5.5800
2017-08-24,3.9558,-2.0400
2017-08-23,3.9763,17.4800
2017-08-22,3.8015,-19.8500
2017-08-21,4.0000,47.4800
2017-08-18,3.5252,-1.9500
2017-08-17,3.5447,-8.3400
2017-08-16,3.6281,-10.8000
2017-08-15,3.7360,2.5700
2017-08-14,3.7103,19.1700
2017-08-11,3.5186,-34.4100
2017-08-10,3.8627,0.1900
2017-08-09,3.8608,6.8400
2017-08-08,3.7925,24.9100
2017-08-07,3.5434,-32.0100
2017-08-04,3.8635,1.3500
2017-08-03,3.8500,-10.0000
2017-08-02,3.9500,395.0000
2017-07-31,3.9000,-67.4500
2017-07-28,4.5745,29.8600
2017-07-27,4.2759,31.1100
2017-07-26,3.9648,5.6000
2017-07-25,3.9088,-4.0400
2017-07-24,3.9492,-3.0800
2017-07-21,3.9800,19.9100
2017-07-20,3.7809,6.2900
2017-07-19,3.7180,-1.3300
2017-07-18,3.7313,-6.3500
2017-07-17,3.7948,-1.7000
2017-07-14,3.8118,-13.2800
2017-07-13,3.9446,-11.3600
2017-07-12,4.0582,13.3300
2017-07-11,3.9248,-0.3600
2017-07-10,3.9284,18.2000
2017-07-07,3.7464,-6.4900
2017-07-06,3.8113,-5.4500
2017-07-05,3.8659,386.5900
2017-07-03,4.0800,-70.4300
2017-06-30,4.7843,478.4300
2017-06-28,4.5000,450.0000
2017-06-26,4.5000,-8.5700
2017-06-23,4.5857,-6.5800
2017-06-22,4.6514,-8.0300
2017-06-21,4.7317,-63.3100
2017-06-20,5.3648,55.1500
2017-06-19,4.8133,-16.1400
2017-06-16,4.9748,15.1700
2017-06-15,4.8231,4.1300
2017-06-14,4.7818,-14.7700
2017-06-13,4.9295,-4.9100
2017-06-12,4.9786,-12.7800
2017-06-09,5.1064,10.6400
2017-06-08,5.0000,45.3500
2017-06-07,4.5465,-41.4800
2017-06-06,4.9613,35.1700
2017-06-05,4.6095,-47.3100
2017-06-02,5.0827,88.2700
2017-06-01,4.2000,5.0000
2017-05-31,4.1500,415.0000
2017-05-26,4.2033,420.3300
2017-05-24,3.8860,-26.5800
2017-05-23,4.1519,0.5400
2017-05-22,4.1465,-16.8400
2017-05-19,4.3148,19.0300
2017-05-18,4.1245,9.8400
2017-05-17,4.0261,-5.6200
2017-05-16,4.0823,0.4200
2017-05-15,4.0781,5.8500
2017-05-12,4.0196,-3.5800
2017-05-11,4.0554,-9.3100
2017-05-10,4.1485,8.4200
2017-05-09,4.0643,-16.6200
2017-05-08,4.2304,-6.9600
2017-05-05,4.3000,6.8200
2017-05-04,4.2318,7.0200
2017-05-03,4.1615,-3.9700
2017-05-02,4.2013,-12.7800
2017-04-28,4.3291,18.4600
2017-04-27,4.1445,13.0400
2017-04-26,4.0140,-8.9000
2017-04-25,4.1030,-23.9500
2017-04-24,4.3425,15.8400
2017-04-21,4.1841,16.0300
2017-04-20,4.0237,0.7100
2017-04-19,4.0167,-0.8900
2017-04-18,4.0256,-11.2100
2017-04-17,4.1376,11.2300
2017-04-14,4.0253,4.1600
2017-04-13,3.9837,-28.4300
2017-04-12,4.2680,24.2700
2017-04-11,4.0253,-4.0300
2017-04-10,4.0656,-23.4400
2017-04-07,4.3000,6.9000
2017-04-06,4.2310,-15.5600
2017-04-05,4.3867,78.6700
2017-04-01,3.6000,-95.5600
2017-03-31,4.5556,2.9100
2017-03-30,4.5264,50.9700
2017-03-29,4.0167,-33.0700
2017-03-28,4.3473,-23.3500
2017-03-27,4.5808,11.4700
2017-03-24,4.4661,1.9500
2017-03-23,4.4466,-26.7700
2017-03-22,4.7143,22.5200
2017-03-21,4.4892,17.7400
2017-03-20,4.3118,-14.4800
2017-03-17,4.4566,15.2900
2017-03-16,4.3037,-3.9000
2017-03-15,4.3427,-12.2800
2017-03-14,4.4655,14.9900
2017-03-13,4.3157,-13.7400
2017-03-10,4.4530,-2.3900
2017-03-09,4.4770,15.5300
2017-03-08,4.3217,11.2200
2017-03-07,4.2095,-6.4200
2017-03-06,4.2737,10.4000
2017-03-03,4.1698,6.9800
2017-03-02,4.1000,22.5100
2017-03-01,3.8749,-21.7400
2017-02-28,4.0923,-4.4200
2017-02-27,4.1365,-1.8100
2017-02-24,4.1545,-11.5700
2017-02-23,4.2702,11.2000
2017-02-22,4.1583,-7.8500
2017-02-21,4.2368,0.8200
2017-02-20,28.0000,3.0000
2017-02-17,28.0000,7.0000
2017-02-16,28.0000,4.0000
2017-02-15,28.0000,5.0000
2017-02-14,28.0000,4.0000
2017-02-13,28.0000,8.0000
2017-02-10,4.1332,-9.1800
2017-02-09,4.2250,30.0700
2017-02-08,3.9243,-13.6400
2017-02-07,4.0607,22.8400
2017-02-06,3.8323,28.2300
2017-02-04,3.5500,-20.5800
2017-02-03,3.7558,-8.7100
2017-01-26,3.8429,84.3600
2017-01-25,2.9992,-0.1300
2017-01-24,3.0006,-105.5700
2017-01-23,4.0563,34.9400
2017-01-22,3.7069,-12.8200
2017-01-20,3.8351,-88.5300
2017-01-19,4.7205,4.8400
2017-01-18,4.6720,73.2400
2017-01-17,3.9396,6.8200
2017-01-16,3.8714,22.0600
2017-01-13,3.6508,3.1900
2017-01-12,3.6189,0.4000
