日期,收盘,开盘,高,低,交易量,涨跌幅
2017-12-1,3070.03,3081.84,3123.94,3025.41,62.83B,-0.44%
2017-11-1,3083.65,3114.04,3244.22,3071.54,94.98B,-0.96%
2017-10-1,3113.69,3147.56,3156.61,3072.25,62.91B,1.50%
2017-9-1,3067.78,3100.12,3139.82,3038.45,85.43B,-1.11%
2017-8-1,3102.14,2995.56,3165.44,2903.57,102.60B,3.61%
2017-7-1,2994.17,2881.8,3030,2847.2,94.12B,3.80%
2017-6-1,2884.58,2834.22,2886.74,2784.19,76.82B,1.63%
2017-5-1,2838.24,2736.59,2871.02,2677.58,76.72B,3.44%
2017-4-1,2743.75,2789.88,2810.75,2693.05,80.82B,-1.49%
2017-3-1,2785.25,2809.71,2825.66,2747.74,78.76B,-0.89%
2017-2-1,2810.22,2773.38,2846.24,2735.27,66.21B,1.41%
2017-1-1,2771.26,2691.43,2777.19,2682.99,53.77B,3.00%
2016-12-1,2690.55,2829.4,2863.96,2654.67,91.06B,-4.90%
2016-11-1,2829.06,2705.71,2875.73,2690.35,115.40B,4.60%
2016-10-1,2704.53,2668.92,2737.86,2659.32,59.71B,1.75%
2016-9-1,2658.02,2722.73,2738.38,2637.01,62.76B,-2.45%
2016-8-1,2724.67,2603.99,2801.76,2586.32,96.26B,4.37%
2016-7-1,2610.65,2601.42,2677.36,2580.33,90.08B,0.52%
2016-6-1,2597.19,2628.9,2631.97,2513.37,69.60B,-1.19%
2016-5-1,2628.48,2606.74,2645.03,2496.63,62.04B,0.92%
2016-4-1,2604.6,2651.46,2703.58,2571.23,87.01B,-1.88%
2016-3-1,2654.5,2379.72,2702.09,2360.27,132.41B,11.43%
2016-2-1,2382.19,2431.37,2558.9,2326.6,70.58B,-2.18%
2016-1-1,2435.22,3042.35,3042.57,2352.66,98.05B,-20.06%
2015-12-1,3046.36,2949.72,3208.07,2920.65,147.31B,3.03%
2015-11-1,2956.88,2837.12,3211.52,2802.52,184.82B,3.09%
2015-10-1,2868.31,2716.93,2927.64,2686.09,122.95B,8.95%
2015-9-1,2632.59,2645.93,2774.7,2586.63,142.57B,-2.13%
2015-8-1,2689.97,3032.84,3231.4,2371.66,212.54B,-12.37%
2015-7-1,3069.87,3486.03,3583.64,2987.6,408.04B,-13.21%
2015-6-1,3536.94,3682.69,4165.08,3152.92,371.66B,-3.76%
2015-5-1,3675.16,3677.84,3967.53,3456.33,278.63B,-0.24%
2015-4-1,3683.84,3286.32,3848.57,3275.63,383.40B,12.23%
2015-3-1,3282.54,2999.86,3399.42,2806.08,288.06B,10.21%
2015-2-1,2978.55,2841.45,3005.61,2781.06,120.07B,1.97%
2015-1-1,2920.88,3097.2,3236.69,2838.73,250.25B,-4.91%
2014-12-1,3071.7,2395.75,3085.39,2343.81,425.70B,29.34%
2014-11-1,2374.88,2029.14,2376.61,1987.64,180.80B,17.29%
2014-10-1,2024.72,1957.24,2035.29,1892.9,90.32B,3.62%
2014-9-1,1954.08,1881.55,1965.38,1876.01,97.31B,4.02%
2014-8-1,1878.65,1903.13,1927.74,1858.08,87.10B,-1.65%
2014-7-1,1910.26,1784.78,1910.56,1749.94,75.23B,7.35%
2014-6-1,1779.43,1793.14,1857.46,1764.91,41.07B,-0.68%
2014-5-1,1791.61,1767.08,1807.95,1742.8,36.59B,1.04%
2014-4-1,1773.13,1761.2,1870.58,1755.69,57.35B,0.50%
2014-3-1,1764.34,1760.08,1791.41,1687.44,62.27B,-0.08%
2014-2-1,1765.7,1757.81,1866.22,1737.88,57.30B,-0.14%
2014-1-1,1768.21,1846.64,1846.64,1737.82,43.66B,-4.47%
2013-12-1,1851.04,1937.76,1984.8,1806.01,60.14B,-4.57%
2013-11-1,1939.59,1891.05,1954.75,1834.5,62.92B,2.67%
2013-10-1,1889.19,1899.28,1944.67,1859.23,61.97B,-0.74%
2013-9-1,1903.3,1836.8,2043.19,1820.55,90.53B,3.87%
2013-8-1,1832.31,1753.83,1949.27,1749.55,71.81B,4.87%
2013-7-1,1747.3,1762.88,1868.58,1726,63.71B,-1.64%
2013-6-1,1776.37,2037.88,2048.71,1656.53,46.31B,-12.82%
2013-5-1,2037.69,1938.86,2070.56,1930.48,63.74B,4.88%
2013-4-1,1942.89,1961.04,2007.05,1922.02,44.86B,-1.26%
2013-3-1,1967.66,2122.09,2128.23,1955.03,74.34B,-7.29%
2013-2-1,2122.38,2168.99,2282,2033.62,65.11B,-2.54%
2013-1-1,2177.76,2041.83,2184.01,1980.16,80.00B,8.03%
