year,month,X1居民消费价格指数1,X1居民消费价格指数2,X1居民消费价格指数3,X1居民消费价格指数4,X2企业景气指数1,X2企业景气指数2,X2企业景气指数3,X2企业景气指数4,X3工业增加值1,X3工业增加值2,X3工业增加值3,X3工业增加值4,X4货币供应量1,X4货币供应量2,X4货币供应量3,X4货币供应量4,X5银行间拆借利率1,X5银行间拆借利率2,X5银行间拆借利率3,X5银行间拆借利率4,X6人民币对美元的汇率（收盘）1,X6人民币对美元的汇率（收盘）2,X6人民币对美元的汇率（收盘）3,X6人民币对美元的汇率（收盘）4,X7进出口总额1,X7进出口总额2,X7进出口总额3,X7进出口总额4,X8国家财政支出1,X8国家财政支出2,X8国家财政支出3,X8国家财政支出4,X9股市成交量（上海）1,X9股市成交量（上海）2,X9股市成交量（上海）3,X9股市成交量（上海）4,X10城镇固定资产投资额1,X10城镇固定资产投资额2,X10城镇固定资产投资额3,X10城镇固定资产投资额4,X11上证收盘1,X11上证收盘2,X11上证收盘3,X11上证收盘4,Y上证收盘,X11沪深300收盘1,X11沪深300收盘2,X11沪深300收盘3,X11沪深300收盘4,Y沪深300收盘
2013,1,102,103.2,102.1,102.4,125.6,125.6,125.6,120.6,9400,9900,8900,9300,992129.25,998600.83,1035858.37,1032551.9,183.0775,182.0775,181.0775,180.0775,6.2188,6.2214,6.2108,6.165,345584884,263509010,365203096,355961467,13655.86,8770.28,9607.75,11430.81,2682,1831,2334,1501,57953,54119,57523,60567,2177.76,2122.38,1967.66,1942.89,2177.76,2686.88,2673.33,2495.08,2447.31,2686.88
2013,2,103.2,102.1,102.4,102.0981,125.6,125.6,120.6,120.6,9900,8900,9300,9200,998600.83,1035858.37,1032551.9,1042169.16,182.0775,181.0775,180.0775,179.0775,6.2214,6.2108,6.165,6.1348,263509010,365203096,355961467,345107274,8770.28,9607.75,11430.81,12749,1831,2334,1501,2305,54119,57523,60567,54645,2122.38,1967.66,1942.89,2037.69,2122.38,2673.33,2495.08,2447.31,2606.43,2673.33
2013,3,102.1,102.4,102.0981,102.7,125.6,120.6,120.6,120.6,8900,9300,9200,8900,1035858.37,1032551.9,1042169.16,1054403.69,181.0775,180.0775,179.0775,178.0775,6.2108,6.165,6.1348,6.1376,365203096,355961467,345107274,321507187,9607.75,11430.81,12749,12376.97,2334,1501,2305,1555,57523,60567,54645,53334,1967.66,1942.89,2037.69,1776.37,1967.66,2495.08,2447.31,2606.43,2200.64,2495.08
2013,4,102.4,102.0981,102.7,102.7,120.6,120.6,120.6,121.5,9300,9200,8900,9700,1032551.9,1042169.16,1054403.69,1052212.34,180.0775,179.0775,178.0775,177.0775,6.165,6.1348,6.1376,6.1289,355961467,345107274,321507187,354164683,11430.81,12749,12376.97,11848.61,1501,2305,1555,2170,60567,54645,53334,70689,1942.89,2037.69,1776.37,1747.3,1942.89,2447.31,2606.43,2200.64,2193.02,2447.31
2013,5,102.0981,102.7,102.7,102.6,120.6,120.6,121.5,121.5,9200,8900,9700,10400,1042169.16,1054403.69,1052212.34,1061256.43,179.0775,178.0775,177.0775,176.0775,6.1348,6.1376,6.1289,6.1195,345107274,321507187,354164683,352697865,12749,12376.97,11848.61,8588.17,2305,1555,2170,2495,54645,53334,70689,55079,2037.69,1776.37,1747.3,1832.31,2037.69,2606.43,2200.64,2193.02,2313.91,2606.43
2013,6,102.7,102.7,102.6,103.1,120.6,121.5,121.5,121.5,8900,9700,10400,10200,1054403.69,1052212.34,1061256.43,1077379.16,178.0775,177.0775,176.0775,175.0775,6.1376,6.1289,6.1195,6.1215,321507187,354164683,352697865,356069938,12376.97,11848.61,8588.17,9361.73,1555,2170,2495,3008,53334,70689,55079,46749,1776.37,1747.3,1832.31,1903.3,1776.37,2200.64,2193.02,2313.91,2409.04,2200.64
2013,7,102.7,102.6,103.1,103.2,121.5,121.5,121.5,119.5,9700,10400,10200,10300,1052212.34,1061256.43,1077379.16,1070242.17,177.0775,176.0775,175.0775,174.0775,6.1289,6.1195,6.1215,6.0945,354164683,352697865,356069938,339704440,11848.61,8588.17,9361.73,12136.41,2170,2495,3008,2383,70689,55079,46749,47835,1747.3,1832.31,1903.3,1889.19,1747.3,2193.02,2313.91,2409.04,2373.72,2193.02
2013,8,102.6,103.1,103.2,103,121.5,121.5,119.5,119.5,10400,10200,10300,10000,1061256.43,1077379.16,1070242.17,1079257.06,176.0775,175.0775,174.0775,173.0775,6.1195,6.1215,6.0945,6.0932,352697865,356069938,339704440,370608687,8588.17,9361.73,12136.41,9124.96,2495,3008,2383,2196,55079,46749,47835,50025,1832.31,1903.3,1889.19,1939.59,1832.31,2313.91,2409.04,2373.72,2438.94,2313.91
2013,9,103.1,103.2,103,102.4987169,121.5,119.5,119.5,119.5,10200,10300,10000,9700,1077379.16,1070242.17,1079257.06,1106524.98,175.0775,174.0775,173.0775,172.0775,6.1215,6.0945,6.0932,6.054,356069938,339704440,370608687,389843996,9361.73,12136.41,9124.96,9493,3008,2383,2196,2104,46749,47835,50025,52215,1903.3,1889.19,1939.59,1851.04,1903.3,2409.04,2373.72,2438.94,2330.03,2409.04
2013,10,103.2,103,102.4987169,102.5,119.5,119.5,119.5,122.4,10300,10000,9700,9100,1070242.17,1079257.06,1106524.98,1123521.21,174.0775,173.0775,172.0775,171.0775,6.0945,6.0932,6.054,6.061,339704440,370608687,389843996,382394944,12136.41,9124.96,9493,15434.54,2383,2196,2104,1570,47835,50025,52215,54407.8512,1889.19,1939.59,1851.04,1768.21,1889.19,2373.72,2438.94,2330.03,2202.45,2373.72
